YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023   1   0    0.3085     3.345   350.253
2023   1   1    0.3085     3.343   350.517
2023   1   2    0.3084     3.340   350.780
2023   1   3    0.3084     3.338   351.043
2023   1   4    0.3083     3.336   351.306
2023   1   5    0.3083     3.333   351.570
2023   1   6    0.3082     3.331   351.833
2023   1   7    0.3082     3.328   352.097
2023   1   8    0.3081     3.326   352.360
2023   1   9    0.3081     3.323   352.624
2023   1  10    0.3081     3.320   352.888
2023   1  11    0.3080     3.317   353.152
2023   1  12    0.3080     3.314   353.416
2023   1  13    0.3080     3.311   353.680
2023   1  14    0.3079     3.308   353.944
2023   1  15    0.3079     3.305   354.208
2023   1  16    0.3079     3.302   354.472
2023   1  17    0.3078     3.299   354.736
2023   1  18    0.3078     3.295   355.000
2023   1  19    0.3078     3.292   355.264
2023   1  20    0.3077     3.288   355.529
2023   1  21    0.3077     3.285   355.793
2023   1  22    0.3077     3.281   356.058
2023   1  23    0.3077     3.278   356.322
2023   2   0    0.3076     3.274   356.586
2023   2   1    0.3076     3.270   356.851
2023   2   2    0.3076     3.266   357.116
2023   2   3    0.3076     3.262   357.380
2023   2   4    0.3076     3.258   357.645
2023   2   5    0.3075     3.254   357.909
2023   2   6    0.3075     3.250   358.174
2023   2   7    0.3075     3.246   358.439
2023   2   8    0.3075     3.241   358.704
2023   2   9    0.3075     3.237   358.968
2023   2  10    0.3075     3.232   359.233
2023   2  11    0.3075     3.228   359.498
2023   2  12    0.3074     3.223   359.763
2023   2  13    0.3074     3.219     0.028
2023   2  14    0.3074     3.214     0.292
2023   2  15    0.3074     3.209     0.557
2023   2  16    0.3074     3.204     0.822
2023   2  17    0.3074     3.199     1.087
2023   2  18    0.3074     3.194     1.352
2023   2  19    0.3074     3.189     1.617
2023   2  20    0.3074     3.184     1.882
2023   2  21    0.3074     3.179     2.146
2023   2  22    0.3074     3.174     2.411
2023   2  23    0.3074     3.168     2.676
2023   3   0    0.3074     3.163     2.941
2023   3   1    0.3074     3.157     3.206
2023   3   2    0.3074     3.152     3.471
2023   3   3    0.3074     3.146     3.736
2023   3   4    0.3074     3.140     4.000
2023   3   5    0.3074     3.135     4.265
2023   3   6    0.3075     3.129     4.530
2023   3   7    0.3075     3.123     4.795
2023   3   8    0.3075     3.117     5.059
2023   3   9    0.3075     3.111     5.324
2023   3  10    0.3075     3.105     5.589
2023   3  11    0.3075     3.099     5.853
2023   3  12    0.3075     3.093     6.118
2023   3  13    0.3076     3.086     6.382
2023   3  14    0.3076     3.080     6.647
2023   3  15    0.3076     3.074     6.912
2023   3  16    0.3076     3.067     7.176
2023   3  17    0.3076     3.061     7.440
2023   3  18    0.3077     3.054     7.705
2023   3  19    0.3077     3.047     7.969
2023   3  20    0.3077     3.041     8.233
2023   3  21    0.3077     3.034     8.498
2023   3  22    0.3078     3.027     8.762
2023   3  23    0.3078     3.020     9.026
2023   4   0    0.3078     3.013     9.290
2023   4   1    0.3079     3.006     9.554
2023   4   2    0.3079     2.999     9.818
2023   4   3    0.3079     2.992    10.082
2023   4   4    0.3080     2.984    10.346
2023   4   5    0.3080     2.977    10.610
2023   4   6    0.3080     2.970    10.873
2023   4   7    0.3081     2.962    11.137
2023   4   8    0.3081     2.955    11.400
2023   4   9    0.3082     2.947    11.664
2023   4  10    0.3082     2.940    11.927
2023   4  11    0.3082     2.932    12.191
2023   4  12    0.3083     2.924    12.454
2023   4  13    0.3083     2.917    12.717
2023   4  14    0.3084     2.909    12.980
2023   4  15    0.3084     2.901    13.243
2023   4  16    0.3085     2.893    13.506
2023   4  17    0.3085     2.885    13.769
2023   4  18    0.3086     2.877    14.032
2023   4  19    0.3086     2.869    14.295
2023   4  20    0.3087     2.861    14.557
2023   4  21    0.3087     2.852    14.820
2023   4  22    0.3088     2.844    15.082
2023   4  23    0.3088     2.836    15.345
2023   5   0    0.3089     2.827    15.607
2023   5   1    0.3089     2.819    15.869
2023   5   2    0.3090     2.810    16.131
2023   5   3    0.3091     2.802    16.393
2023   5   4    0.3091     2.793    16.655
2023   5   5    0.3092     2.784    16.916
2023   5   6    0.3092     2.776    17.178
2023   5   7    0.3093     2.767    17.439
2023   5   8    0.3094     2.758    17.701
2023   5   9    0.3094     2.749    17.962
2023   5  10    0.3095     2.740    18.223
2023   5  11    0.3096     2.731    18.484
2023   5  12    0.3096     2.722    18.745
2023   5  13    0.3097     2.713    19.006
2023   5  14    0.3098     2.704    19.266
2023   5  15    0.3099     2.695    19.527
2023   5  16    0.3099     2.685    19.787
2023   5  17    0.3100     2.676    20.048
2023   5  18    0.3101     2.667    20.308
2023   5  19    0.3102     2.657    20.568
2023   5  20    0.3102     2.648    20.828
2023   5  21    0.3103     2.638    21.087
2023   5  22    0.3104     2.629    21.347
2023   5  23    0.3105     2.619    21.606
2023   6   0    0.3106     2.609    21.866
2023   6   1    0.3106     2.600    22.125
2023   6   2    0.3107     2.590    22.384
2023   6   3    0.3108     2.580    22.643
2023   6   4    0.3109     2.570    22.902
2023   6   5    0.3110     2.560    23.160
2023   6   6    0.3111     2.550    23.419
2023   6   7    0.3112     2.540    23.677
2023   6   8    0.3113     2.530    23.935
2023   6   9    0.3113     2.520    24.193
2023   6  10    0.3114     2.510    24.451
2023   6  11    0.3115     2.500    24.709
2023   6  12    0.3116     2.490    24.966
2023   6  13    0.3117     2.480    25.224
2023   6  14    0.3118     2.469    25.481
2023   6  15    0.3119     2.459    25.738
2023   6  16    0.3120     2.448    25.995
2023   6  17    0.3121     2.438    26.251
2023   6  18    0.3122     2.428    26.508
2023   6  19    0.3123     2.417    26.764
2023   6  20    0.3124     2.406    27.020
2023   6  21    0.3125     2.396    27.276
2023   6  22    0.3126     2.385    27.532
2023   6  23    0.3127     2.375    27.788
2023   7   0    0.3128     2.364    28.044
2023   7   1    0.3129     2.353    28.299
2023   7   2    0.3130     2.342    28.554
2023   7   3    0.3132     2.331    28.809
2023   7   4    0.3133     2.321    29.064
2023   7   5    0.3134     2.310    29.318
2023   7   6    0.3135     2.299    29.573
2023   7   7    0.3136     2.288    29.827
2023   7   8    0.3137     2.277    30.081
