YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023   1   0   19.6664     3.106   331.557
2023   1   1   19.6664     3.106   331.558
2023   1   2   19.6664     3.106   331.558
2023   1   3   19.6664     3.106   331.559
2023   1   4   19.6664     3.106   331.559
2023   1   5   19.6663     3.106   331.560
2023   1   6   19.6663     3.106   331.560
2023   1   7   19.6663     3.105   331.561
2023   1   8   19.6663     3.105   331.561
2023   1   9   19.6663     3.105   331.562
2023   1  10   19.6663     3.105   331.562
2023   1  11   19.6663     3.105   331.563
2023   1  12   19.6663     3.105   331.563
2023   1  13   19.6663     3.105   331.564
2023   1  14   19.6663     3.105   331.564
2023   1  15   19.6663     3.105   331.564
2023   1  16   19.6663     3.105   331.565
2023   1  17   19.6663     3.105   331.565
2023   1  18   19.6663     3.105   331.566
2023   1  19   19.6663     3.105   331.566
2023   1  20   19.6663     3.105   331.567
2023   1  21   19.6662     3.105   331.567
2023   1  22   19.6662     3.105   331.568
2023   1  23   19.6662     3.105   331.568
2023   2   0   19.6662     3.105   331.569
2023   2   1   19.6662     3.105   331.569
2023   2   2   19.6662     3.105   331.570
2023   2   3   19.6662     3.105   331.570
2023   2   4   19.6662     3.105   331.570
2023   2   5   19.6662     3.104   331.571
2023   2   6   19.6662     3.104   331.571
2023   2   7   19.6662     3.104   331.572
2023   2   8   19.6662     3.104   331.572
2023   2   9   19.6662     3.104   331.573
2023   2  10   19.6662     3.104   331.573
2023   2  11   19.6662     3.104   331.574
2023   2  12   19.6662     3.104   331.574
2023   2  13   19.6661     3.104   331.575
2023   2  14   19.6661     3.104   331.575
2023   2  15   19.6661     3.104   331.576
2023   2  16   19.6661     3.104   331.576
2023   2  17   19.6661     3.104   331.576
2023   2  18   19.6661     3.104   331.577
2023   2  19   19.6661     3.104   331.577
2023   2  20   19.6661     3.104   331.578
2023   2  21   19.6661     3.104   331.578
2023   2  22   19.6661     3.104   331.579
2023   2  23   19.6661     3.104   331.579
2023   3   0   19.6661     3.104   331.580
2023   3   1   19.6661     3.104   331.580
2023   3   2   19.6661     3.103   331.581
2023   3   3   19.6661     3.103   331.581
2023   3   4   19.6660     3.103   331.582
2023   3   5   19.6660     3.103   331.582
2023   3   6   19.6660     3.103   331.583
2023   3   7   19.6660     3.103   331.583
2023   3   8   19.6660     3.103   331.583
2023   3   9   19.6660     3.103   331.584
2023   3  10   19.6660     3.103   331.584
2023   3  11   19.6660     3.103   331.585
2023   3  12   19.6660     3.103   331.585
2023   3  13   19.6660     3.103   331.586
2023   3  14   19.6660     3.103   331.586
2023   3  15   19.6660     3.103   331.587
2023   3  16   19.6660     3.103   331.587
2023   3  17   19.6660     3.103   331.588
2023   3  18   19.6660     3.103   331.588
2023   3  19   19.6660     3.103   331.589
2023   3  20   19.6659     3.103   331.589
2023   3  21   19.6659     3.103   331.589
2023   3  22   19.6659     3.103   331.590
2023   3  23   19.6659     3.103   331.590
2023   4   0   19.6659     3.102   331.591
2023   4   1   19.6659     3.102   331.591
2023   4   2   19.6659     3.102   331.592
2023   4   3   19.6659     3.102   331.592
2023   4   4   19.6659     3.102   331.593
2023   4   5   19.6659     3.102   331.593
2023   4   6   19.6659     3.102   331.594
2023   4   7   19.6659     3.102   331.594
2023   4   8   19.6659     3.102   331.595
2023   4   9   19.6659     3.102   331.595
2023   4  10   19.6659     3.102   331.596
2023   4  11   19.6659     3.102   331.596
2023   4  12   19.6658     3.102   331.596
2023   4  13   19.6658     3.102   331.597
2023   4  14   19.6658     3.102   331.597
2023   4  15   19.6658     3.102   331.598
2023   4  16   19.6658     3.102   331.598
2023   4  17   19.6658     3.102   331.599
2023   4  18   19.6658     3.102   331.599
2023   4  19   19.6658     3.102   331.600
2023   4  20   19.6658     3.102   331.600
2023   4  21   19.6658     3.102   331.601
2023   4  22   19.6658     3.101   331.601
2023   4  23   19.6658     3.101   331.602
